№;COBID;ящик;Состояние COBID;Столбец2;Столбец3;Столбец4;;;;;;;
1;1319;ОРН5-1.1;Свободен;;;;;;;;;;
2;1318;ОРН5-1.1;Свободен;;;;;;;;;;
3;1317;ОРН5-1.1;Свободен;;;;;;;;;;
4;1316;ОРН5-1.1;Свободен;;;;;;;;;;
5;1315;ОРН5-1.1;Свободен;;;;;;;;;;
6;1314;ОРН5-1.1;Свободен;;;;;;;;;;
7;1313;ОРН5-1.1;Свободен;;;;;;;;;;
8;1312;ОРН5-1.1;Свободен;;;;;;;;;;
9;1311;ОРН5-1.1;Свободен;;;;;;;;;;
10;1310;ОРН5-1.1;Свободен;;;;;;;;;;
11;1309;ОРН5-1.1;Свободен;;;;;;;;;;
12;1308;ОРН5-1.1;Свободен;;;;;;;;;;
13;1307;ОРН5-1.1;Свободен;;;;;;;;;;
14;1306;ОРН5-1.1;Свободен;;;;;;;;;;
15;1305;ОРН5-1.1;Свободен;;;;;;;;;;
16;1304;ОРН5-1.1;Свободен;;;;;;;;;3;3
17;1303;ОРН5-1.1;Свободен;;;;;;;;;;
18;1302;ОРН5-1.1;Свободен;;;;;;;;;;
19;1301;ОРН5-1.1;Свободен;;;;;;;;;;
20;1300;ОРН5-1.1;Свободен;;;;;;;;;;
21;1299;ОРН5-2.1;Свободен;;;;;;;;;;
22;1298;ОРН5-2.1;Свободен;;;;;;;;;;
23;1297;ОРН5-2.1;Свободен;;;;;;;;;;
24;1296;ОРН5-2.1;Свободен;;;;;;;;;;
25;1295;ОРН5-2.1;Свободен;;;;;;;;;;
26;1294;ОРН5-2.1;Свободен;;;;;;;;;;
27;1293;ОРН5-2.1;Свободен;;;;;;;;;;
28;1292;ОРН5-2.1;Свободен;;;;;;;;;;
29;1291;ОРН5-2.1;Свободен;;;;;;;;;;
30;1290;ОРН5-2.1;Свободен;;;;;;;;;;
31;1289;ОРН5-2.1;Свободен;;;;;;;;;;
32;1288;ОРН5-2.1;Свободен;;;;;;;;;;
33;1287;ОРН5-2.1;Свободен;;;;;;;;;;
34;1286;ОРН5-2.1;Свободен;;;;;;;;;;
35;1285;ОРН5-2.1;Свободен;;;;;;;;;;
36;1284;ОРН5-2.1;Свободен;;;;;;;;;;
37;1283;ОРН5-2.1;Свободен;;;;;;;;;;
38;1282;ОРН5-2.1;Свободен;;;;;;;;;;
39;1281;ОРН5-2.1;Свободен;;;;;;;;;;
40;1280;ОРН5-2.1;Свободен;;;;;;;;;;
41;1279;;Свободен;;;;;;;;;;
42;1278;;Свободен;;;;;;;;;;
43;1277;;Свободен;;;;;;;;;;
44;1276;;Свободен;;;;;;;;;;
45;1275;;Свободен;;;;;;;;;;
46;1274;;Свободен;;;;;;;;;;
47;1273;;Свободен;;;;;;;;;;
48;1272;;Свободен;;;;;;;;;;
49;1271;;Свободен;;;;;;;;;;
50;1270;;Свободен;;;;;;;;;;
51;1269;;Свободен;;;;;;;;;;
52;1268;;Свободен;;;;;;;;;;
53;1267;;Свободен;;;;;;;;;;
54;1266;;Свободен;;;;;;;;;;
55;1265;;Свободен;;;;;;;;;;
56;1264;;Свободен;;;;;;;;;;
57;1263;;Свободен;;;;;;;;;;
58;1262;;Свободен;;;;;;;;;;
59;1261;;Свободен;;;;;;;;;;
60;1260;;Свободен;;;;;;;;;;
61;1259;ОРН5-3.1;Свободен;;;;;;;;;;
62;1258;ОРН5-3.1;Свободен;;;;;;;;;;
63;1257;ОРН5-3.1;Свободен;;;;;;;;;;
64;1256;ОРН5-3.1;Свободен;;;;;;;;;;
65;1255;ОРН5-3.1;Свободен;;;;;;;;;;
66;1254;ОРН5-3.1;Свободен;;;;;;;;;;
67;1253;ОРН5-3.1;Свободен;;;;;;;;;;
68;1252;ОРН5-3.1;Свободен;;;;;;;;;;
69;1251;ОРН5-3.1;Свободен;;;;;;;;;;
70;1250;ОРН5-3.1;Свободен;;;;;;;;;;
71;1249;ОРН5-3.1;Свободен;;;;;;;;;;
72;1248;ОРН5-3.1;Свободен;;;;;;;;;;
73;1247;ОРН5-3.1;Свободен;;;;;;;;;;
74;1246;ОРН5-3.1;Свободен;;;;;;;;;;
75;1245;ОРН5-3.1;Свободен;;;;;;;;;;
76;1244;ОРН5-3.1;Свободен;;;;;;;;;;
77;1243;ОРН5-3.1;Свободен;;;;;;;;;;
78;1242;ОРН5-3.1;Свободен;;;;;;;;;;
79;1241;ОРН5-3.1;Свободен;;;;;;;;;;
80;1240;ОРН5-3.1;Свободен;;;;;;;;;;
81;1321;ОРН5-4.1;Свободен;;;;;;;;;;
82;1239;ОРН5-4.1;Свободен;;;;;;;;;;
83;1238;ОРН5-4.1;Свободен;;;;;;;;;;
84;1237;ОРН5-4.1;Свободен;;;;;;;;;;
85;1236;ОРН5-4.1;Свободен;;;;;;;;;;
86;1235;ОРН5-4.1;Свободен;;;;;;;;;;
87;1234;ОРН5-4.1;Свободен;;;;;;;;;;
88;1233;ОРН5-4.1;Свободен;;;;;;;;;;
89;1232;ОРН5-4.1;Свободен;;;;;;;;;;
90;1231;ОРН5-4.1;Свободен;;;;;;;;;;
91;1230;ОРН5-4.1;Свободен;;;;;;;;;;
92;1229;ОРН5-4.1;Свободен;;;;;;;;;;
93;1228;ОРН5-4.1;Свободен;;;;;;;;;;
94;1227;ОРН5-4.1;Свободен;;;;;;;;;;
95;1226;ОРН5-4.1;Свободен;;;;;;;;;;
96;1225;ОРН5-4.1;Свободен;;;;;;;;;;
97;1224;ОРН5-4.1;Свободен;;;;;;;;;;
98;1223;ОРН5-4.1;Свободен;;;;;;;;;;
99;1222;ОРН5-4.1;Свободен;;;;;;;;;;
100;1221;ОРН5-4.1;Свободен;;;;;;;;;;
101;1220;ОРН5-4.1;Свободен;;;;;;;;;;
102;1219;ОРН5-4.2;Свободен;;;;;;;;;;
103;1218;ОРН5-4.2;Свободен;;;;;;;;;;
104;1217;ОРН5-4.2;Свободен;;;;;;;;;;
105;1216;ОРН5-4.2;Свободен;;;;;;;;;;
106;1215;ОРН5-4.2;Свободен;;;;;;;;;;
107;1214;ОРН5-4.2;Свободен;;;;;;;;;;
108;1213;ОРН5-4.2;Свободен;;;;;;;;;;
109;1212;ОРН5-4.2;Свободен;;;;;;;;;;
110;1211;ОРН5-4.2;Свободен;;;;;;;;;;
111;1210;ОРН5-4.2;Свободен;;;;;;;;;;
112;1209;ОРН5-4.2;Свободен;;;;;;;;;;
113;1208;ОРН5-4.2;Свободен;;;;;;;;;;
114;1207;ОРН5-4.2;Свободен;;;;;;;;;;
115;1206;ОРН5-4.2;Свободен;;;;;;;;;;
116;1205;ОРН5-4.2;Свободен;;;;;;;;;;
117;1204;ОРН5-4.2;Свободен;;;;;;;;;;
118;1203;ОРН5-4.2;Свободен;;;;;;;;;;
119;1202;ОРН5-4.2;Свободен;;;;;;;;;;
120;1201;ОРН5-4.2;Свободен;;;;;;;;;;
121;1200;ОРН5-4.2;Свободен;;;;;;;;;;
122;1199;ОРН5-4.3;Свободен;;;;;;;;;;
123;1198;ОРН5-4.3;Свободен;;;;;;;;;;
124;1197;ОРН5-4.3;Свободен;;;;;;;;;;
125;1196;ОРН5-4.3;Свободен;;;;;;;;;;
126;1195;ОРН5-4.3;Свободен;;;;;;;;;;
127;1194;ОРН5-4.3;Свободен;;;;;;;;;;
128;1193;ОРН5-4.3;Свободен;;;;;;;;;;
129;1192;ОРН5-4.3;Свободен;;;;;;;;;;
130;1191;ОРН5-4.3;Свободен;;;;;;;;;;
131;1190;ОРН5-4.3;Свободен;;;;;;;;;;
132;1189;ОРН5-4.3;Свободен;;;;;;;;;;
133;1188;ОРН5-4.3;Свободен;;;;;;;;;;
134;1187;ОРН5-4.3;Свободен;;;;;;;;;;
135;1186;ОРН5-4.3;Свободен;;;;;;;;;;
136;1185;ОРН5-4.3;Свободен;;;;;;;;;;
137;1184;ОРН5-4.3;Свободен;;;;;;;;;;
138;1183;ОРН5-4.3;Свободен;;;;;;;;;;
139;1182;ОРН5-4.3;Свободен;;;;;;;;;;
140;1181;ОРН5-4.3;Свободен;;;;;;;;;;
141;1180;ОРН5-4.3;Свободен;;;;;;;;;;
142;1179;ОРН5-5.1;Свободен;;;;;;;;;;
143;1178;ОРН5-5.1;Свободен;;;;;;;;;;
144;1177;ОРН5-5.1;Свободен;;;;;;;;;;
145;1176;ОРН5-5.1;Свободен;;;;;;;;;;
146;1175;ОРН5-5.1;Свободен;;;;;;;;;;
147;1174;ОРН5-5.1;Свободен;;;;;;;;;;
148;1173;ОРН5-5.1;Свободен;;;;;;;;;;
149;1172;ОРН5-5.1;Свободен;;;;;;;;;;
150;1171;ОРН5-5.1;Свободен;;;;;;;;;;
151;1170;ОРН5-5.1;Свободен;;;;;;;;;;
152;1169;ОРН5-5.1;Свободен;;;;;;;;;;
153;1168;ОРН5-5.1;Свободен;;;;;;;;;;
154;1167;ОРН5-5.1;Свободен;;;;;;;;;;
155;1166;ОРН5-5.1;Свободен;;;;;;;;;;
156;1165;ОРН5-5.1;Свободен;;;;;;;;;;
157;1164;ОРН5-5.1;Свободен;;;;;;;;;;
158;1163;ОРН5-5.1;Свободен;;;;;;;;;;
159;1162;ОРН5-5.1;Свободен;;;;;;;;;;
160;1161;ОРН5-5.1;Свободен;;;;;;;;;;
161;1160;ОРН5-5.1;Свободен;;;;;;;;;;
162;1159;ОРН5-5.2;Свободен;;;;;;;;;;
163;1158;ОРН5-5.2;Свободен;;;;;;;;;;
164;1157;ОРН5-5.2;Свободен;;;;;;;;;;
165;1156;ОРН5-5.2;Свободен;;;;;;;;;;
166;1155;ОРН5-5.2;Свободен;;;;;;;;;;
167;1154;ОРН5-5.2;Свободен;;;;;;;;;;
168;1153;ОРН5-5.2;Свободен;;;;;;;;;;
169;1152;ОРН5-5.2;Свободен;;;;;;;;;;
170;1151;ОРН5-5.2;Свободен;;;;;;;;;;
171;1150;ОРН5-5.2;Свободен;;;;;;;;;;
172;1149;ОРН5-5.2;Свободен;;;;;;;;;;
173;1148;ОРН5-5.2;Свободен;;;;;;;;;;
174;1147;ОРН5-5.2;Свободен;;;;;;;;;;
175;1146;ОРН5-5.2;Свободен;;;;;;;;;;
176;1145;ОРН5-5.2;Свободен;;;;;;;;;;
177;1144;ОРН5-5.2;Свободен;;;;;;;;;;
178;1143;ОРН5-5.2;Свободен;;;;;;;;;;
179;1142;ОРН5-5.2;Свободен;;;;;;;;;;
180;1141;ОРН5-5.2;Свободен;;;;;;;;;;
181;1140;ОРН5-5.2;Свободен;;;;;;;;;;
182;1139;ОРН5-6.1;Свободен;;;;;;;;;;
183;1138;ОРН5-6.1;Свободен;;;;;;;;;;
184;1137;ОРН5-6.1;Свободен;;;;;;;;;;
185;1136;ОРН5-6.1;Свободен;;;;;;;;;;
186;1135;ОРН5-6.1;Свободен;;;;;;;;;;
187;1134;ОРН5-6.1;Свободен;;;;;;;;;;
188;1133;ОРН5-6.1;Свободен;;;;;;;;;;
189;1132;ОРН5-6.1;Свободен;;;;;;;;;;
190;1131;ОРН5-6.1;Свободен;;;;;;;;;;
191;1130;ОРН5-6.1;Свободен;;;;;;;;;;
192;1129;ОРН5-6.1;Свободен;;;;;;;;;;
193;1128;ОРН5-6.1;Свободен;;;;;;;;;;
194;1127;ОРН5-6.1;Свободен;;;;;;;;;;
195;1126;ОРН5-6.1;Свободен;;;;;;;;;;
196;1125;ОРН5-6.1;Свободен;;;;;;;;;;
197;1124;ОРН5-6.1;Свободен;;;;;;;;;;
198;1123;ОРН5-6.1;Свободен;;;;;;;;;;
199;1122;ОРН5-6.1;Свободен;;;;;;;;;;
200;1121;ОРН5-6.1;Свободен;;;;;;;;;;
201;1120;ОРН5-6.1;Свободен;;;;;;;;;;
202;1119;ОРН5-6.2;Свободен;;;;;;;;;;
203;1118;ОРН5-6.2;Свободен;;;;;;;;;;
204;1117;ОРН5-6.2;Свободен;;;;;;;;;;
205;1116;ОРН5-6.2;Свободен;;;;;;;;;;
206;1115;ОРН5-6.2;Свободен;;;;;;;;;;
207;1114;ОРН5-6.2;Свободен;;;;;;;;;;
208;1113;ОРН5-6.2;Свободен;;;;;;;;;;
209;1112;ОРН5-6.2;Свободен;;;;;;;;;;
210;1111;ОРН5-6.2;Свободен;;;;;;;;;;
211;1110;ОРН5-6.2;Свободен;;;;;;;;;;
212;1109;ОРН5-6.2;Свободен;;;;;;;;;;
213;1108;ОРН5-6.2;Свободен;;;;;;;;;;
214;1107;ОРН5-6.2;Свободен;;;;;;;;;;
215;1106;ОРН5-6.2;Свободен;;;;;;;;;;
216;1105;ОРН5-6.2;Свободен;;;;;;;;;;
217;1104;ОРН5-6.2;Свободен;;;;;;;;;;
218;1103;ОРН5-6.2;Свободен;;;;;;;;;;
219;1102;ОРН5-6.2;Свободен;;;;;;;;;;
220;1101;ОРН5-6.2;Свободен;;;;;;;;;;
221;1100;ОРН5-6.2;Свободен;;;;;;;;;;
222;1099;ОРН5-6.3;Свободен;;;;;;;;;;
223;1098;ОРН5-6.3;Свободен;;;;;;;;;;
224;1097;ОРН5-6.3;Свободен;;;;;;;;;;
225;1096;ОРН5-6.3;Свободен;;;;;;;;;;
226;1095;ОРН5-6.3;Свободен;;;;;;;;;;
227;1094;ОРН5-6.3;Свободен;;;;;;;;;;
228;1093;ОРН5-6.3;Свободен;;;;;;;;;;
229;1092;ОРН5-6.3;Свободен;;;;;;;;;;
230;1091;ОРН5-6.3;Свободен;;;;;;;;;;
231;1090;ОРН5-6.3;Свободен;;;;;;;;;;
232;1089;ОРН5-6.3;Свободен;;;;;;;;;;
233;1088;ОРН5-6.3;Свободен;;;;;;;;;;
234;1087;ОРН5-6.3;Свободен;;;;;;;;;;
235;1086;ОРН5-6.3;Свободен;;;;;;;;;;
236;1085;ОРН5-6.3;Свободен;;;;;;;;;;
237;1084;ОРН5-6.3;Свободен;;;;;;;;;;
238;1083;ОРН5-6.3;Свободен;;;;;;;;;;
239;1082;ОРН5-6.3;Свободен;;;;;;;;;;
240;1081;ОРН5-6.3;Свободен;;;;;;;;;;
241;1080;ОРН5-6.3;Свободен;;;;;;;;;;
242;1079;ОРН5-6.4;Свободен;;;;;;;;;;
243;1078;ОРН5-6.4;Свободен;;;;;;;;;;
244;1077;ОРН5-6.4;Свободен;;;;;;;;;;
245;1076;ОРН5-6.4;Свободен;;;;;;;;;;
246;1075;ОРН5-6.4;Свободен;;;;;;;;;;
247;1074;ОРН5-6.4;Свободен;;;;;;;;;;
248;1073;ОРН5-6.4;Свободен;;;;;;;;;;
249;1072;ОРН5-6.4;Свободен;;;;;;;;;;
250;1071;ОРН5-6.4;Свободен;;;;;;;;;;
251;1070;ОРН5-6.4;Свободен;;;;;;;;;;
252;1069;ОРН5-6.4;Свободен;;;;;;;;;;
253;1068;ОРН5-6.4;Свободен;;;;;;;;;;
254;1067;ОРН5-6.4;Свободен;;;;;;;;;;
255;1066;ОРН5-6.4;Свободен;;;;;;;;;;
256;1065;ОРН5-6.4;Свободен;;;;;;;;;;
257;1064;ОРН5-6.4;Свободен;;;;;;;;;;
258;1063;ОРН5-6.4;Свободен;;;;;;;;;;
