№ п/п;Имя параметра;Описание параметра;Система;CAN_ID;Смещение;Длина;UNO1;№ порта UNO1;UNO3;№ порта UNO3;Протокол;Тип ;StandID;BitCount
1;BI21_1SS1_DK3_T;Сработка 1СС1-ДК3 температура в Шкиперской кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;0;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
2;BI21_1SS1_DK3_dT;Сработка 1СС1-ДК3 изменение температуры в Шкиперской кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;1;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
3;BI21_1SS1_DK3_f;Сработка 1СС1-ДК3 дым в Шкиперской кладовой 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;2;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
4;BI21_1SS1_DK2_T;Сработка 1СС1-ДК2 температура в Такелажной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;3;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
5;BI21_1SS1_DK2_dT;Сработка 1СС1-ДК2 изменение температуры в Такелажной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;4;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
6;BI21_1SS1_DK2_f;Сработка 1СС1-ДК2 дым в Такелажной кладовой 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;5;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
7;BI21_1SS1_DT1_T1;Сработка 1СС1-ДТ1 температура в Такелажной кладовой 30 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;6;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
8;BI21_1SS1_DT1_T2;Сработка 1СС1-ДТ1 температура в Такелажной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;7;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
9;BI21_1SS1_DT1_dT;Сработка 1СС1-ДТ1 изменение температуры в Такелажной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;8;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
10;BI21_1SS1_DK1_T;Сработка 1СС1-ДК1 температура в Форпике 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;9;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
11;BI21_1SS1_DK1_dT;Сработка 1СС1-ДК1 изменение температуры в Форпике 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;10;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
12;BI21_1SS1_DK1_f;Сработка 1СС1-ДК1 дым в Форпике 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;11;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
13;BI21_1SS1_DTV1_T;Сработка 1СС1-ДТВ1 температура в Молярной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;12;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
14;BI21_1SS1_DTV1_dT;Сработка 1СС1-ДТВ1 изменение температуры в Молярной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;13;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
15;BI21_1SS1_DTV2_T;Сработка 1СС1-ДТВ2 температура в Молярной кладовой 70 гр.Ц.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;14;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
16;BI21_1SS1_DTV2_dT;Сработка 1СС1-ДТВ2 изменение температуры в Молярной кладовой 10 гр.Ц. в мин.;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;15;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
17;BI21_1SS1_DFV1_f;Сработка 1СС1-ДФВ1 дым в Молярной кладовой 15%;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;16;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
18;BI21_1SS1_RV1;Сработка 1СС1-РВ1 в Молярной кладовой;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;17;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
19;BI21_1SS1_DP1;Сработка 1СС1-ДП1 в Молярной кладовой;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;18;1;ДА;3;ДА;0;Пожарная автоматика;П;;
20;BI21_1SS1_DP2;Сработка 1СС1-ДП2 в Молярной кладовой;2021. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;500;19;1;ДА;3;ДА;0;Пожарная автоматика;П;;
