№П/П;Индекс системы;Наименование системы;Номер схемы зав.521;Номер схемы зав.522;Номер схемы зав.523;Мнемокадр;Доп. Схема 1;Доп. Схема 2;Доп. Схема 3;Комментарий;Исполнитель
1;37;Система наличия воды в отсеках;;12700.362653.2037Э4;;ОКС.Наличие воды в отсеках;;;;;
2;02;Система ОРИОН-02668 управления режимами главных двигателей;;12700.362653.2002Э4;;ГЭУ. Главные двигатели;;;;;
3;03;Управление главными двигателями;;12700.362653.2003Э4;;ГЭУ. Главные двигатели;;;;;
4;04;Сигнализация о понижении давления на разобщительной муфте ГД;;12700.362653.2004Э4;;ГЭУ. Главные двигатели;;;;;
5;05;Управление подогревом масла в циркуляционных цистернах ВРШ;;12700.362653.2005Э4;;ГЭУ. Валопровод;;;;;
6;06;Управление подогревом масла в циркуляционных цистернах ГД;;12700.362653.2006Э4;;ГЭУ. Главные двигатели;;;;;
7;07;Управление подогревом масла в цистернах запасного масла №1 и №2;;12700.362653.2007Э4;;ГЭУ. Подогрев масла;;;;;
8;08;Контроль уровня в цистерне отстойного топлива;;12700.362653.2008Э4;;ОКС.Топливо;;;;;
9;10;Контроль давления воздуха в трубопроводе пускового воздуха дизелей;;12700.362653.2010Э4;;ГЭУ. Главные двигатели;;;;;
10;11;Контроль температуры выхлопных газов ГД;;12700.362653.2011Э4;;;;;;;
11;12;Насосная станция гидравлики приводов системы управления ГД;;12700.362653.2012Э4;;ГЭУ. Главные двигатели;;;;;
12;13;Контроль температуры масла в подшипниках валопровода;;12700.362653.2013Э4;;ГЭУ. Валопровод;;;;;
13;14;Контроль частоты вращения коленчатых валов главных двигателей;;12700.362653.2014Э4;;;;;;;
14;15;Контроль частоты вращения гребных винтов;;12700.362653.2015Э4;;;;;;;
15;16;Управление нагревателями воздуха в сушильной и помещении стрелкового оружия;;12700.362653.2016Э4;;;;;;;
16;17;Управление дизель генераторами;;12700.362653.2017Э4;;ЭЭС. Электросистема;;;;;
17;18;Контроль уровня в дренажных бачках;;12700.362653.2018Э4;;ОКС. Система сжатого воздуха;;;;;
18;19;Управление системой крана-манипулятора;;12700.362653.2019Э4;;;;;;;
19;20;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;;12700.362653.2020Э4;;ОКС.Гамма;;;;;
20;21;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 1;;12700.362653.2021Э4;;ОКС.Гамма;;;;;
21;22;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 2;;12700.362653.2022Э4;;ОКС.Гамма;;;;;
22;23;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;;12700.362653.2023Э4;;ОКС.Гамма;;;;;
23;24;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 4;;12700.362653.2024Э4;;ОКС.Гамма;;;;;
24;25;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 5;;12700.362653.2025Э4;;ОКС.Гамма;;;;;
25;26;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 6;;12700.362653.2026Э4;;ОКС.Гамма;;;;;
26;27;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 7;;12700.362653.2027Э4;;ОКС.Гамма;;;;;
27;28;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 8;;12700.362653.2028Э4;;ОКС.Гамма;;;;;
28;29;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 9;;12700.362653.2029Э4;;ОКС.Гамма;;;;;
29;30;Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 10;;12700.362653.2030Э4;;ОКС.Гамма;;;;;
30;36;Управление гидросистемой ВПК и тральной лебедки;;12700.362653.2036Э4;;ОКС. Управления ВПК;;;;;
31;38;Сигнализация о работе водоотливной системы;;12700.362653.2038Э4;;ОКС.Водоотливная система;;;;;
32;39;Система корабельного мониторинга;;12700.362653.2039Э4;;СОЭЖ;;;;;
33;40;Управление системой ОХТ;;12700.362653.2040Э4;;ОКС.ОХТ;;;;;
34;41;Управление электрообогревателями в помещениях станций ОХТ;;12700.362653.2041Э4;;ОКС.ОХТ;;;;;
35;42;Система управление Корракс-34М рулевой машиной;;12700.362653.2042Э4;;;;;;;
36;43;Управление электрокомпрессорами и блоками осушки воздуха;;12700.362653.2043Э4;;ОКС. Система сжатого воздуха;;;;;
37;44;обогрев редукционных клапанов;;12700.362653.2044Э4;;;;;;;
38;45;Измерение давления в баллонах сжатого воздуха;;12700.362653.2045Э4;;ОКС. Система сжатого воздуха;;;;;
39;46;Управление системой универсальной водяной защиты;;12700.362653.2046Э4;;ОКС.СУВЗ;;;;;
40;47;Управление системами водораспыления и пожаротушения тонкораспыленной водой;;12700.362653.2047Э4;;ОКС.Тонкий распыл;;;;;
41;48;Управление системой сбора и очистки нефтесодержащих трюмных вод;;12700.362653.2048Э4;;ОКС.Нефтесодержащие и трюм.воды;;;;;Камриков
